driver_id,total_km,avg_speed_kmph,hard_braking_events,hard_accel_events,night_driving_pct,phone_use_events,previous_claims,claim_amount_last_3y,claim_amount
159,4479.0,67.5,22,16,32.8,2,1,18760.0,36979.0
160,1017.0,45.5,2,4,25.3,2,0,0.0,35583.0
161,487.0,37.9,4,0,29.4,2,0,0.0,32313.0
162,575.0,47.9,1,1,21.9,2,0,0.0,18978.0
163,932.0,52.0,4,2,1.9,2,0,0.0,5742.0
164,1046.0,33.3,1,3,1.2,2,0,0.0,5543.0
165,906.0,28.5,3,3,20.5,2,0,0.0,11514.0
166,326.0,25.0,0,2,0.0,2,0,0.0,13633.0
167,2662.0,56.1,6,10,14.6,2,0,0.0,12397.0
168,897.0,50.4,9,2,31.0,2,1,65661.0,9144.0
169,788.0,60.0,3,4,24.2,2,1,66967.0,16216.0
170,3605.0,50.1,18,13,7.5,2,3,254509.0,21411.0
171,1522.0,66.2,6,1,28.9,2,1,64379.0,15890.0
172,661.0,54.5,2,0,46.9,2,1,55159.0,18341.0
173,1879.0,43.9,9,5,25.8,2,0,0.0,13255.0
174,1844.0,25.5,9,5,21.4,2,1,17231.0,24655.0
175,1036.0,39.8,6,1,41.8,2,1,52546.0,21906.0
176,1033.0,38.6,5,2,44.7,2,1,22409.0,23177.0
177,1708.0,32.6,4,6,13.3,2,1,86866.0,27569.0
178,680.0,61.2,2,0,26.6,2,0,0.0,3924.0
179,2409.0,44.0,10,6,0.0,2,0,0.0,15596.0
180,1496.0,46.3,10,5,0.0,2,0,0.0,30170.0
181,742.0,46.7,3,0,35.5,2,0,0.0,21161.0
182,1857.0,34.8,4,3,25.6,2,0,0.0,25039.0
183,1582.0,54.1,13,3,21.2,2,0,0.0,15006.0
184,1924.0,33.4,18,4,22.3,2,0,0.0,26491.0
185,165.0,47.7,4,1,8.7,2,0,0.0,19301.0
186,2012.0,51.3,4,2,12.4,2,0,0.0,11289.0
187,2378.0,37.1,11,5,3.7,2,1,79171.0,27870.0
188,1102.0,26.9,2,7,12.3,2,0,0.0,26083.0
189,4500.0,34.8,13,16,8.1,2,0,0.0,25165.0
190,439.0,39.2,2,2,24.0,2,0,0.0,4593.0
191,315.0,37.1,3,1,3.0,2,0,0.0,6612.0
192,580.0,29.2,1,1,29.2,2,0,0.0,31878.0
193,820.0,31.4,2,1,3.1,2,0,0.0,23725.0
194,1904.0,73.6,13,6,51.1,2,1,71240.0,29490.0
195,2799.0,61.2,6,11,4.8,2,1,62222.0,14074.0
196,642.0,59.4,2,3,31.1,2,0,0.0,5722.0
197,3653.0,44.0,20,14,8.8,2,3,88035.0,29445.0
198,738.0,56.1,3,4,8.0,2,0,0.0,18656.0
199,2201.0,40.3,12,6,0.0,2,1,89822.0,14557.0
200,3092.0,59.1,15,13,18.1,2,0,0.0,26112.0
201,722.0,33.1,3,2,6.5,2,1,41319.0,0.0
202,577.0,54.1,1,1,31.0,2,2,44778.0,14995.0
203,649.0,54.1,0,1,0.0,2,0,0.0,12981.0
204,892.0,49.9,2,2,23.9,2,0,0.0,7323.0
205,668.0,42.2,1,3,0.0,2,1,16937.0,7831.0
206,1192.0,53.5,4,3,14.9,2,1,88541.0,4699.0
207,405.0,47.0,3,0,0.0,2,0,0.0,3944.0
208,4313.0,90.0,7,20,22.7,2,0,0.0,18614.0
209,516.0,30.2,0,0,17.1,2,1,77714.0,16327.0
210,680.0,60.1,1,1,10.4,2,1,84102.0,21147.0
211,1086.0,66.5,4,2,7.3,2,1,39626.0,20573.0
212,1229.0,57.4,3,2,8.7,2,1,15935.0,13872.0
213,1877.0,53.8,6,2,0.0,2,0,0.0,2652.0
214,378.0,59.0,0,0,9.3,2,0,0.0,12263.0
215,2288.0,56.6,12,5,8.1,2,0,0.0,8196.0
216,1210.0,44.3,6,1,19.2,2,1,71109.0,22074.0
217,2957.0,38.4,12,11,29.5,2,1,88855.0,29181.0
218,548.0,45.1,2,3,37.0,2,0,0.0,23630.0
219,934.0,34.3,1,4,15.0,2,0,0.0,11584.0
220,1396.0,60.7,6,3,12.4,2,1,22465.0,26086.0
221,4500.0,47.1,24,13,21.2,2,0,0.0,21577.0
222,1358.0,47.2,6,4,42.2,2,1,70911.0,18938.0
223,4115.0,62.6,13,11,41.5,2,0,0.0,15993.0
224,1034.0,44.3,7,2,47.5,2,0,0.0,15651.0
225,3107.0,51.2,24,6,7.5,2,0,0.0,20090.0
226,1038.0,68.8,4,6,3.3,2,1,38696.0,9943.0
227,628.0,63.7,2,1,48.7,2,0,0.0,17010.0
228,774.0,58.1,5,4,0.0,2,0,0.0,23384.0
229,1019.0,34.5,3,2,10.4,2,0,0.0,26181.0
230,620.0,56.3,2,1,12.0,2,0,0.0,21515.0
231,1392.0,27.1,7,4,39.5,2,1,60496.0,33183.0
232,707.0,46.4,2,0,1.9,2,0,0.0,11979.0
233,619.0,58.1,3,0,40.1,2,1,32052.0,3482.0
234,1219.0,53.6,7,3,4.1,2,1,17077.0,10977.0
235,907.0,40.7,2,2,6.3,2,0,0.0,16854.0
236,716.0,44.1,3,2,9.0,2,0,0.0,13562.0
237,1031.0,43.8,10,1,24.9,2,0,0.0,8027.0
238,879.0,46.0,3,2,0.0,2,1,56401.0,21548.0
239,943.0,27.8,2,1,0.0,2,0,0.0,10886.0
240,2424.0,38.0,5,8,0.0,2,1,41975.0,11874.0
241,2577.0,25.0,25,8,29.2,2,0,0.0,1835.0
242,867.0,50.9,8,1,13.5,2,0,0.0,22761.0
243,1188.0,42.4,3,2,0.0,2,1,55289.0,11888.0
244,570.0,60.0,2,1,12.6,2,0,0.0,5575.0
245,1649.0,58.0,10,5,9.6,2,1,70539.0,28376.0
246,516.0,49.9,3,3,41.1,2,0,0.0,4275.0
247,693.0,74.8,0,2,0.0,2,0,0.0,9978.0
248,889.0,37.3,2,0,13.2,2,0,0.0,16370.0
249,482.0,47.0,1,1,19.1,2,0,0.0,454.0
250,1165.0,75.2,6,4,10.7,2,0,0.0,10850.0
251,996.0,35.1,1,3,2.0,2,1,19698.0,8532.0
252,596.0,50.0,1,2,1.0,2,1,62913.0,18443.0
253,1656.0,42.2,6,8,0.0,2,1,37046.0,33192.0
254,1269.0,58.1,2,1,12.6,2,1,64280.0,26171.0
255,1211.0,48.1,5,3,0.0,2,1,66782.0,26088.0
256,1190.0,28.5,5,5,32.5,2,0,0.0,20770.0
257,404.0,53.7,2,0,43.6,2,1,57953.0,2214.0
258,2434.0,35.6,4,9,12.8,2,0,0.0,22014.0
259,272.0,39.9,1,2,4.7,2,0,0.0,9570.0
260,1981.0,45.1,11,1,24.8,2,0,0.0,14792.0
261,1590.0,64.0,8,4,0.0,2,0,0.0,0.0
262,1280.0,39.3,4,3,8.1,2,0,0.0,21572.0
263,650.0,33.9,1,2,30.9,2,2,96759.0,0.0
264,1125.0,38.3,5,3,9.2,2,0,0.0,13445.0
265,1042.0,70.5,1,4,18.6,2,1,15956.0,18631.0
266,3133.0,59.6,13,12,12.2,2,1,33405.0,22646.0
267,3307.0,36.9,16,7,23.3,2,0,0.0,27223.0
268,1231.0,40.5,4,2,18.3,2,0,0.0,18540.0
269,421.0,36.7,1,1,2.6,2,0,0.0,6072.0
270,1842.0,50.4,12,4,28.6,2,0,0.0,31268.0
271,3602.0,38.3,19,11,4.7,2,0,0.0,24192.0
272,2156.0,40.1,4,5,21.6,2,0,0.0,27369.0
273,1918.0,57.1,13,3,37.7,2,1,61661.0,32302.0
274,899.0,63.9,4,0,0.0,2,1,78111.0,7557.0
275,697.0,52.3,4,1,35.7,2,0,0.0,23408.0
276,955.0,25.0,3,2,21.3,2,1,52603.0,1784.0
277,1054.0,53.8,4,1,21.9,2,0,0.0,18861.0
278,1130.0,35.0,3,3,30.2,2,0,0.0,409.0
279,775.0,63.8,3,2,18.7,2,0,0.0,11577.0
280,510.0,67.8,1,0,13.1,2,0,0.0,10561.0
281,1114.0,55.2,6,4,36.0,2,0,0.0,1547.0
282,518.0,49.2,3,0,45.8,2,0,0.0,27601.0
283,637.0,56.9,7,2,5.7,2,1,65304.0,16560.0
284,993.0,55.6,7,6,17.3,2,0,0.0,21270.0
285,2892.0,66.0,13,9,0.0,2,0,0.0,14248.0
286,1827.0,51.4,7,7,12.1,2,1,70284.0,30813.0
287,1425.0,52.6,2,2,41.4,2,0,0.0,22612.0
288,2218.0,41.7,7,5,25.4,2,0,0.0,23398.0
289,841.0,54.1,4,0,5.3,2,0,0.0,6582.0
290,1450.0,37.9,10,6,23.4,2,0,0.0,6211.0
291,2365.0,29.7,11,4,0.0,2,0,0.0,19203.0
292,1369.0,47.3,4,5,2.7,2,0,0.0,23626.0
293,526.0,38.5,0,2,8.5,2,0,0.0,14900.0
294,1938.0,41.0,8,6,16.8,2,0,0.0,22755.0
295,909.0,28.8,5,4,0.0,2,0,0.0,20565.0
296,1189.0,45.4,8,5,0.0,2,0,0.0,8973.0
297,465.0,53.6,1,1,0.0,2,0,0.0,0.0
298,2464.0,25.0,13,2,0.0,2,1,30168.0,16226.0
299,752.0,42.1,4,4,18.5,2,1,26301.0,28600.0
300,909.0,53.9,6,2,6.2,2,0,0.0,14597.0
301,414.0,55.1,0,4,0.0,2,0,0.0,11661.0
302,953.0,50.4,3,2,33.0,2,2,150596.0,21661.0
303,803.0,35.6,7,4,10.7,2,0,0.0,22280.0
304,688.0,50.2,4,2,29.3,2,1,84781.0,18637.0
305,3241.0,32.3,8,11,3.6,2,0,0.0,10384.0
306,2542.0,43.5,16,7,0.0,2,0,0.0,31550.0
307,606.0,51.3,1,2,18.8,2,0,0.0,676.0
308,2886.0,30.8,7,11,15.0,2,1,26999.0,14305.0
309,692.0,57.8,2,1,28.4,2,0,0.0,7789.0
310,398.0,39.3,0,2,24.8,2,0,0.0,27725.0
311,696.0,25.0,4,0,22.0,2,0,0.0,1142.0
312,1741.0,25.0,7,2,19.0,2,0,0.0,0.0
313,1579.0,42.1,4,3,0.0,2,0,0.0,32570.0
314,526.0,58.5,2,2,8.9,2,0,0.0,2987.0
315,851.0,40.8,6,0,29.5,2,0,0.0,26028.0
316,1581.0,44.2,6,9,35.4,2,0,0.0,15547.0
317,380.0,42.0,0,2,34.2,2,0,0.0,12199.0
318,1031.0,50.2,3,2,0.0,2,1,82466.0,22789.0
319,1005.0,53.7,1,2,12.2,2,2,160461.0,0.0
320,1277.0,47.6,3,7,6.8,2,0,0.0,31206.0
321,1509.0,43.9,6,7,1.4,2,2,169389.0,29825.0
322,920.0,44.5,5,2,32.8,2,0,0.0,36321.0
323,663.0,61.9,5,1,8.0,2,0,0.0,1345.0
324,2372.0,44.4,9,7,20.1,2,1,80051.0,19452.0
325,239.0,40.0,2,1,17.5,2,0,0.0,0.0
326,1170.0,44.7,7,6,24.1,2,0,0.0,16332.0
327,1766.0,36.2,10,3,12.6,2,0,0.0,20385.0
328,2220.0,34.5,16,1,9.4,2,1,54457.0,23633.0
329,1167.0,69.2,5,3,0.0,2,0,0.0,11397.0
330,3465.0,57.3,8,9,57.3,2,1,65604.0,30720.0
331,426.0,48.4,2,1,10.4,2,0,0.0,25177.0
332,2691.0,65.0,10,9,0.0,2,1,82210.0,27226.0
333,869.0,56.4,4,2,12.3,2,2,148052.0,7473.0
334,2864.0,58.8,10,13,39.5,2,2,117166.0,39620.0
335,646.0,42.6,3,1,42.0,2,1,41709.0,21518.0
336,542.0,45.9,3,0,0.0,2,0,0.0,0.0
337,874.0,43.8,2,3,16.8,2,1,56394.0,5810.0
338,2017.0,41.5,6,7,20.7,2,0,0.0,9710.0
339,514.0,51.4,2,1,24.6,2,1,41673.0,19691.0
340,871.0,39.2,0,3,21.3,2,0,0.0,17220.0
341,797.0,78.4,5,3,28.8,2,1,64975.0,19607.0
342,3166.0,31.3,9,7,17.7,2,0,0.0,17617.0
343,403.0,62.6,1,1,6.2,2,0,0.0,22288.0
344,692.0,35.8,4,4,12.8,2,0,0.0,8751.0
345,705.0,54.8,2,1,4.1,2,1,85018.0,8835.0
346,1897.0,40.3,11,3,29.3,2,2,160819.0,27164.0
347,1127.0,44.3,7,7,0.0,2,2,120461.0,5961.0
348,1363.0,44.7,5,3,34.4,2,0,0.0,25210.0
349,1082.0,51.1,5,4,0.0,2,1,62311.0,13244.0
350,1122.0,40.3,2,4,0.0,2,0,0.0,14261.0
351,1869.0,42.9,3,2,5.3,2,0,0.0,14836.0
352,609.0,42.7,1,0,15.0,2,1,42939.0,15393.0
353,1079.0,50.2,5,2,0.9,2,0,0.0,4498.0
354,1866.0,40.1,4,10,4.4,2,0,0.0,25377.0
355,609.0,66.7,3,0,0.0,2,0,0.0,14820.0
356,463.0,43.6,0,0,35.8,2,0,0.0,28506.0
357,2023.0,55.1,12,5,3.5,2,2,99239.0,14162.0
358,434.0,36.7,3,1,15.4,2,0,0.0,8666.0
359,1653.0,42.8,3,3,18.1,2,1,80086.0,20275.0
360,1086.0,38.6,3,0,36.5,2,2,103143.0,31062.0
361,298.0,35.3,2,1,12.6,2,1,24329.0,18174.0
362,1785.0,31.0,2,4,18.2,2,1,28356.0,17023.0
363,2432.0,44.3,12,6,0.0,2,1,72874.0,25397.0
364,1680.0,32.6,6,4,29.6,2,2,38100.0,21590.0
365,602.0,37.8,1,2,1.2,2,2,105426.0,0.0
366,379.0,34.3,2,4,46.0,2,0,0.0,19056.0
367,365.0,60.2,1,0,27.3,2,1,36330.0,17732.0
368,940.0,49.8,4,0,15.6,2,0,0.0,12858.0
369,1387.0,53.0,2,1,0.6,2,1,26641.0,11383.0
370,1678.0,32.4,9,3,22.7,2,0,0.0,33745.0
371,712.0,50.3,5,3,25.7,2,0,0.0,13957.0
372,2562.0,51.3,14,12,1.6,2,1,72271.0,19610.0
373,533.0,37.4,1,3,19.2,2,2,131530.0,9831.0
374,2650.0,55.0,16,2,10.6,2,0,0.0,18630.0
375,360.0,56.8,4,1,7.6,2,0,0.0,12606.0
376,1998.0,54.2,9,1,10.5,2,0,0.0,22092.0
377,706.0,47.2,2,2,14.1,2,1,82593.0,28266.0
378,1173.0,31.1,3,4,42.5,2,3,72913.0,37840.0
379,1689.0,39.6,6,4,6.9,2,0,0.0,27165.0
380,1487.0,38.1,10,4,39.7,2,0,0.0,18425.0
381,543.0,66.7,1,1,6.0,2,2,159033.0,12916.0
382,610.0,37.4,4,0,17.5,2,0,0.0,21429.0
383,1590.0,60.1,7,0,8.1,2,0,0.0,9973.0
384,508.0,50.5,3,1,40.1,2,1,54967.0,10852.0
385,817.0,30.9,4,2,7.7,2,1,86751.0,17763.0
386,2947.0,58.4,11,7,15.9,2,0,0.0,30852.0
387,1205.0,27.5,6,2,20.1,2,0,0.0,34261.0
388,1550.0,25.0,3,3,0.0,2,0,0.0,15016.0
389,1645.0,44.9,6,4,0.0,2,1,85174.0,8545.0
390,1149.0,51.4,6,2,21.7,2,0,0.0,25365.0
391,778.0,45.2,2,2,22.2,2,0,0.0,21524.0
392,1129.0,53.4,4,3,0.0,2,0,0.0,13027.0
393,1415.0,47.4,5,2,21.6,2,1,32225.0,11594.0
394,694.0,40.1,4,1,0.0,2,0,0.0,0.0
395,883.0,45.1,3,1,0.0,2,0,0.0,8627.0
396,1074.0,50.2,7,3,60.1,2,1,46905.0,13814.0
397,1142.0,35.6,6,2,14.0,2,0,0.0,26758.0
398,364.0,36.1,1,3,23.1,2,0,0.0,11528.0
399,1039.0,37.7,6,5,9.9,2,3,248467.0,7338.0
400,1195.0,59.9,5,2,4.1,2,0,0.0,18621.0
401,1336.0,39.6,2,4,31.5,2,0,0.0,9458.0
402,740.0,71.7,4,1,0.0,2,1,79153.0,7428.0
403,1158.0,44.5,3,2,23.2,2,2,114930.0,10660.0
404,1571.0,52.5,11,5,0.0,2,0,0.0,2764.0
405,2362.0,59.6,10,4,43.4,2,0,0.0,15411.0
406,2139.0,72.3,6,5,41.5,2,2,158803.0,19780.0
407,1036.0,42.2,6,3,16.6,2,1,67964.0,3920.0
408,626.0,44.1,1,2,3.8,2,0,0.0,16516.0
409,2257.0,56.7,6,6,25.7,2,0,0.0,27581.0
410,757.0,66.6,2,1,41.5,2,0,0.0,12355.0
411,819.0,40.5,4,1,0.0,2,0,0.0,27812.0
412,1618.0,57.1,8,5,14.4,2,0,0.0,31706.0
413,1027.0,34.0,2,0,31.2,2,0,0.0,20204.0
414,1020.0,39.4,8,3,24.5,2,1,60633.0,26624.0
415,1582.0,43.0,9,5,1.4,2,0,0.0,17034.0
416,1898.0,45.4,7,5,10.6,2,1,72961.0,21024.0
417,586.0,25.8,3,5,17.3,2,1,19454.0,4795.0
418,1151.0,67.4,4,4,33.2,2,0,0.0,37233.0
419,623.0,31.2,2,1,0.0,2,0,0.0,1381.0
420,939.0,42.1,8,4,0.0,2,0,0.0,7703.0
421,3241.0,43.6,14,12,38.0,2,0,0.0,48664.0
422,1164.0,47.7,5,5,23.0,2,0,0.0,28713.0
423,1255.0,53.6,1,5,35.7,2,0,0.0,24326.0
424,379.0,47.7,1,2,2.7,2,0,0.0,24271.0
425,2314.0,54.3,6,6,24.8,2,1,15714.0,16844.0
426,506.0,33.3,1,3,17.7,2,0,0.0,21630.0
427,4378.0,50.5,18,11,4.9,2,0,0.0,15451.0
428,1065.0,45.2,1,4,0.0,2,0,0.0,0.0
429,1397.0,57.3,4,5,0.0,2,1,65832.0,16480.0
430,1815.0,43.2,2,7,18.7,2,0,0.0,19140.0
431,1046.0,44.6,2,3,19.4,2,0,0.0,24082.0
432,738.0,58.0,3,1,16.6,2,2,154036.0,13664.0
433,1378.0,34.8,6,3,0.0,2,0,0.0,10206.0
434,865.0,58.9,4,4,21.6,2,2,160002.0,23875.0
